dataset,method,trial,dm,eps,depth,acc,date,sens,elapsed_ns
adult_clean,LlnRLNM,0,Max,0.01,2,0.7837718328543002,2024-06-26 16:24:21.095682,0.00873864618547329,2111767000.0
adult_clean,LlnRLNM,1,Max,0.01,2,0.7970373645810302,2024-06-26 16:24:23.257059,0.00873864618547329,2116891000.0
adult_clean,LlnRLNM,2,Max,0.01,2,0.773109243697479,2024-06-26 16:24:25.400422,0.00873864618547329,2106712000.0
adult_clean,LlnRLNM,3,Max,0.01,2,0.7724458204334366,2024-06-26 16:24:27.539349,0.00873864618547329,2102115000.0
adult_clean,LlnRLNM,4,Max,0.01,2,0.7775320654577621,2024-06-26 16:24:29.708788,0.00873864618547329,2117734000.0
adult_clean,LlnRLNM,5,Max,0.01,2,0.7865988500663423,2024-06-26 16:24:31.874548,0.00873864618547329,2128376000.0
adult_clean,LlnRLNM,6,Max,0.01,2,0.7423706324635118,2024-06-26 16:24:34.035735,0.00873864618547329,2122520000.0
adult_clean,LlnRLNM,7,Max,0.01,2,0.775984077841663,2024-06-26 16:24:36.178106,0.00873864618547329,2109876000.0
adult_clean,LlnRLNM,8,Max,0.01,2,0.7870411322423706,2024-06-26 16:24:38.316232,0.00873864618547329,2103722000.0
adult_clean,LlnRLNM,9,Max,0.01,2,0.7620521892967713,2024-06-26 16:24:40.460418,0.00873864618547329,2106200000.0
adult_clean,LlnRLNM,10,Max,0.01,2,0.7753703294273712,2024-06-26 16:24:42.645137,0.00873864618547329,2147062000.0
adult_clean,LlnRLNM,11,Max,0.01,2,0.8023435772717223,2024-06-26 16:24:44.762376,0.00873864618547329,2094736000.0
adult_clean,LlnRLNM,12,Max,0.01,2,0.7810703228659885,2024-06-26 16:24:47.014078,0.00873864618547329,2187669000.0
adult_clean,LlnRLNM,13,Max,0.01,2,0.7582927908005307,2024-06-26 16:24:49.229833,0.00873864618547329,2163297000.0
adult_clean,LlnRLNM,14,Max,0.01,2,0.8040689960194605,2024-06-26 16:24:51.385867,0.00873864618547329,2121831000.0
adult_clean,LlnRLNM,15,Max,0.01,2,0.7459088898717382,2024-06-26 16:24:53.539772,0.00873864618547329,2118750000.0
adult_clean,LlnRLNM,16,Max,0.01,2,0.7467934542237947,2024-06-26 16:24:55.715396,0.00873864618547329,2116738000.0
adult_clean,LlnRLNM,17,Max,0.01,2,0.7620521892967713,2024-06-26 16:24:57.842923,0.00873864618547329,2097577000.0
adult_clean,LlnRLNM,18,Max,0.01,2,0.7523219814241486,2024-06-26 16:24:59.970045,0.00873864618547329,2095916000.0
adult_clean,LlnRLNM,19,Max,0.01,2,0.7994250331711632,2024-06-26 16:25:02.122982,0.00873864618547329,2120038000.0
adult_clean,LlnRLNM,20,Max,0.01,2,0.8001326553172673,2024-06-26 16:25:04.261417,0.00873864618547329,2104228000.0
adult_clean,LlnRLNM,21,Max,0.01,2,0.7928366128675658,2024-06-26 16:25:06.394013,0.00873864618547329,2100488000.0
