dataset,method,trial,dm,eps,depth,acc,date,sens,elapsed_ns
adult_clean,TStudentRLNM,41,Max,0.01,2,0.6968826000442184,2024-06-26 16:30:51.635874,0.30574617949871175,2146589000.0
adult_clean,TStudentRLNM,42,Max,0.01,2,0.7361786819991154,2024-06-26 16:30:53.691376,0.30574617949871175,2033765000.0
adult_clean,TStudentRLNM,43,Max,0.01,2,0.7638213180008846,2024-06-26 16:30:55.645310,0.30574617949871175,1929777000.0
adult_clean,TStudentRLNM,44,Max,0.01,2,0.7397169394073418,2024-06-26 16:30:57.245361,0.30574617949871175,1579162000.0
adult_clean,TStudentRLNM,45,Max,0.01,2,0.7624944714727997,2024-06-26 16:30:59.410289,0.30574617949871175,2139580000.0
adult_clean,TStudentRLNM,46,Max,0.01,2,0.686421937195931,2024-06-26 16:31:01.197018,0.30574617949871175,1758602000.0
adult_clean,TStudentRLNM,47,Max,0.01,2,0.6755860238832375,2024-06-26 16:31:02.432883,0.30574617949871175,1219505000.0
adult_clean,TStudentRLNM,48,Max,0.01,2,0.7425917735515258,2024-06-26 16:31:04.559025,0.30574617949871175,2104536000.0
adult_clean,TStudentRLNM,49,Max,0.01,2,0.7180451127819549,2024-06-26 16:31:05.780754,0.30574617949871175,1207905000.0
adult_clean,LlnRLNM,0,Max,0.01,2,0.7614415211143046,2024-06-26 16:31:07.946470,0.00873864618547329,2148623000.0
adult_clean,LlnRLNM,1,Max,0.01,2,0.7764757904045987,2024-06-26 16:31:10.105734,0.00873864618547329,2145628000.0
adult_clean,LlnRLNM,2,Max,0.01,2,0.7863777089783281,2024-06-26 16:31:12.276882,0.00873864618547329,2149379000.0
adult_clean,LlnRLNM,3,Max,0.01,2,0.7974347633790358,2024-06-26 16:31:14.442185,0.00873864618547329,2140930000.0
adult_clean,LlnRLNM,4,Max,0.01,2,0.7394957983193278,2024-06-26 16:31:16.607496,0.00873864618547329,2140394000.0
adult_clean,LlnRLNM,5,Max,0.01,2,0.7684652808491818,2024-06-26 16:31:18.775920,0.00873864618547329,2144182000.0
adult_clean,LlnRLNM,6,Max,0.01,2,0.7711189739053517,2024-06-26 16:31:20.946942,0.00873864618547329,2143551000.0
adult_clean,LlnRLNM,7,Max,0.01,2,0.7691287041132242,2024-06-26 16:31:23.124524,0.00873864618547329,2152715000.0
adult_clean,LlnRLNM,8,Max,0.01,2,0.796329057938965,2024-06-26 16:31:25.302152,0.00873864618547329,2152910000.0
adult_clean,LlnRLNM,9,Max,0.01,2,0.796329057938965,2024-06-26 16:31:27.475229,0.00873864618547329,2148762000.0
adult_clean,LlnRLNM,10,Max,0.01,2,0.7716117621047976,2024-06-26 16:31:29.656779,0.00873864618547329,2154912000.0
adult_clean,LlnRLNM,11,Max,0.01,2,0.7954897192129118,2024-06-26 16:31:31.818194,0.00873864618547329,2136608000.0
adult_clean,LlnRLNM,12,Max,0.01,2,0.7879256965944272,2024-06-26 16:31:33.985570,0.00873864618547329,2142838000.0
adult_clean,LlnRLNM,13,Max,0.01,2,0.7987616099071208,2024-06-26 16:31:36.158801,0.00873864618547329,2148379000.0
adult_clean,LlnRLNM,14,Max,0.01,2,0.7790800530738611,2024-06-26 16:31:38.334760,0.00873864618547329,2151232000.0
adult_clean,LlnRLNM,15,Max,0.01,2,0.7885891198584697,2024-06-26 16:31:40.511166,0.00873864618547329,2148556000.0
adult_clean,LlnRLNM,16,Max,0.01,2,0.7974347633790358,2024-06-26 16:31:42.685241,0.00873864618547329,2149071000.0
adult_clean,LlnRLNM,17,Max,0.01,2,0.7695709862892526,2024-06-26 16:31:44.845444,0.00873864618547329,2136407000.0
adult_clean,LlnRLNM,18,Max,0.01,2,0.7649270234409553,2024-06-26 16:31:47.032965,0.00873864618547329,2162524000.0
adult_clean,LlnRLNM,19,Max,0.01,2,0.8042901371074745,2024-06-26 16:31:49.213550,0.00873864618547329,2154210000.0
adult_clean,LlnRLNM,20,Max,0.01,2,0.7923944284766747,2024-06-26 16:31:51.394448,0.00873864618547329,2154160000.0
adult_clean,LlnRLNM,21,Max,0.01,2,0.7570196772053946,2024-06-26 16:31:53.573925,0.00873864618547329,2154031000.0
adult_clean,LlnRLNM,22,Max,0.01,2,0.7523219814241486,2024-06-26 16:31:55.754326,0.00873864618547329,2155261000.0
adult_clean,LlnRLNM,23,Max,0.01,2,0.796107916850951,2024-06-26 16:31:57.917741,0.00873864618547329,2138830000.0
adult_clean,LlnRLNM,24,Max,0.01,2,0.7655904467049978,2024-06-26 16:32:00.084295,0.00873864618547329,2142127000.0
adult_clean,LlnRLNM,25,Max,0.01,2,0.7797434763379035,2024-06-26 16:32:02.249470,0.00873864618547329,2140861000.0
adult_clean,LlnRLNM,26,Max,0.01,2,0.7781954887218046,2024-06-26 16:32:04.437254,0.00873864618547329,2162259000.0
adult_clean,LlnRLNM,27,Max,0.01,2,0.7764263600176913,2024-06-26 16:32:06.604332,0.00873864618547329,2140981000.0
adult_clean,LlnRLNM,28,Max,0.01,2,0.767359575409111,2024-06-26 16:32:08.770912,0.00873864618547329,2141096000.0
adult_clean,LlnRLNM,29,Max,0.01,2,0.7636001769128704,2024-06-26 16:32:10.950434,0.00873864618547329,2154092000.0
adult_clean,LlnRLNM,30,Max,0.01,2,0.7552509396418307,2024-06-26 16:32:13.124765,0.00873864618547329,2148586000.0
adult_clean,LlnRLNM,31,Max,0.01,2,0.7899624143267743,2024-06-26 16:32:15.304004,0.00873864618547329,2154086000.0
