p	eps	smooth	err_tdist
50	0.1000	0.606531	84.816883
50	0.1269	0.530211	84.816433
50	0.1610	0.447029	84.815698
50	0.2043	0.359990	84.814423
50	0.2593	0.273495	84.812039
50	0.3290	0.192979	84.807113
50	0.4175	0.123977	84.795363
50	0.5298	0.070711	84.759461
50	0.6723	0.034677	84.551314
50	0.8532	0.014040	70.764364
50	1.0826	0.010000	50.910383
50	1.3738	0.010000	46.480023
50	1.7433	0.010000	43.910899
50	2.2122	0.010000	42.508041
50	2.8072	0.010000	41.768899
50	3.5622	0.010000	41.387908
50	4.5204	0.010000	41.194269
50	5.7362	0.010000	41.096780
50	7.2790	0.010000	41.048024
50	9.2367	0.010000	41.023760
50	11.7210	0.010000	41.011728
50	14.8735	0.010000	41.005778
50	18.8739	0.010000	41.002843
50	23.9503	0.010000	41.001397
50	30.3920	0.010000	41.000686
50	38.5662	0.010000	41.000337
50	48.9390	0.010000	41.000165
50	62.1017	0.010000	41.000081
50	78.8046	0.010000	41.000040
50	100.0000	0.010000	41.000019
