p	eps	smooth	err_tdist
99	0.1000	0.904837	5075.151671
99	0.1269	0.880825	5075.203737
99	0.1610	0.851270	5075.273905
99	0.2043	0.815188	5075.369935
99	0.2593	0.771596	5075.503909
99	0.3290	0.719618	5075.695345
99	0.4175	0.658670	5075.977181
99	0.5298	0.588704	5076.407956
99	0.6723	0.510515	5077.098542
99	0.8532	0.426063	5078.276729
99	1.0826	0.338701	5080.465502
99	1.3738	0.253137	5085.082274
99	1.7433	0.174937	5097.231113
99	2.2122	0.109458	5151.310770
99	2.8072	0.060373	8874.233469
99	3.5622	0.028375	113120.273046
99	4.5204	0.010885	139956.243412
99	5.7362	0.010000	140478.907368
99	7.2790	0.010000	140642.319918
99	9.2367	0.010000	140722.319780
99	11.7210	0.010000	140761.474295
99	14.8735	0.010000	140780.635948
99	18.8739	0.010000	140790.015556
99	23.9503	0.010000	140794.602030
99	30.3920	0.010000	140796.847721
99	38.5662	0.010000	140797.946976
99	48.9390	0.010000	140798.484672
99	62.1017	0.010000	140798.747806
99	78.8046	0.010000	140798.876579
99	100.0000	0.010000	140798.939599
