p	eps	smooth	err_tdist
50	0.1000	0.904837	6823.299722
50	0.1269	0.880825	6823.300442
50	0.1610	0.851270	6823.301411
50	0.2043	0.815188	6823.302738
50	0.2593	0.771596	6823.304589
50	0.3290	0.719618	6823.307234
50	0.4175	0.658670	6823.311129
50	0.5298	0.588704	6823.317081
50	0.6723	0.510515	6823.326623
50	0.8532	0.426063	6823.342902
50	1.0826	0.338701	6823.373143
50	1.3738	0.253137	6823.436925
50	1.7433	0.174937	6823.604728
50	2.2122	0.109458	6824.350728
50	2.8072	0.060373	6866.142183
50	3.5622	0.028375	7585.581020
50	4.5204	0.010885	7755.342081
50	5.7362	0.010000	7758.833832
50	7.2790	0.010000	7759.935024
50	9.2367	0.010000	7760.476996
50	11.7210	0.010000	7760.743361
50	14.8735	0.010000	7760.874142
50	18.8739	0.010000	7760.938306
50	23.9503	0.010000	7760.969769
50	30.3920	0.010000	7760.985190
50	38.5662	0.010000	7760.992746
50	48.9390	0.010000	7760.996448
50	62.1017	0.010000	7760.998261
50	78.8046	0.010000	7760.999149
50	100.0000	0.010000	7760.999583
