p	eps	smooth	err_tdist
90	0.1000	0.904837	6823.307307
90	0.1269	0.880825	6823.310339
90	0.1610	0.851270	6823.314426
90	0.2043	0.815188	6823.320020
90	0.2593	0.771596	6823.327823
90	0.3290	0.719618	6823.338973
90	0.4175	0.658670	6823.355389
90	0.5298	0.588704	6823.380479
90	0.6723	0.510515	6823.420702
90	0.8532	0.426063	6823.489323
90	1.0826	0.338701	6823.616798
90	1.3738	0.253137	6823.885660
90	1.7433	0.174937	6824.593000
90	2.2122	0.109458	6827.737619
90	2.8072	0.060373	7003.901348
90	3.5622	0.028375	10036.555491
90	4.5204	0.010885	10752.150145
90	5.7362	0.010000	10766.868943
90	7.2790	0.010000	10771.510801
90	9.2367	0.010000	10773.795379
90	11.7210	0.010000	10774.918189
90	14.8735	0.010000	10775.469469
90	18.8739	0.010000	10775.739940
90	23.9503	0.010000	10775.872566
90	30.3920	0.010000	10775.937572
90	38.5662	0.010000	10775.969424
90	48.9390	0.010000	10775.985027
90	62.1017	0.010000	10775.992669
90	78.8046	0.010000	10775.996411
90	100.0000	0.010000	10775.998243
