p	eps	smooth	err_tdist
50	0.1000	0.122456	5064.536670
50	0.1269	0.069612	5050.954542
50	0.1610	0.033995	5006.667185
50	0.2043	0.013690	4770.710047
50	0.2593	0.010000	4297.754491
50	0.3290	0.010000	3870.335166
50	0.4175	0.010000	3261.116027
50	0.5298	0.010000	2528.153720
50	0.6723	0.010000	1797.411226
50	0.8532	0.010000	1182.181736
50	1.0826	0.010000	729.524915
50	1.3738	0.010000	428.434907
50	1.7433	0.010000	242.350610
50	2.2122	0.010000	133.325397
50	2.8072	0.010000	71.911331
50	3.5622	0.010000	38.323569
50	4.5204	0.010000	20.365948
50	5.7362	0.010000	10.933644
50	7.2790	0.010000	6.048441
50	9.2367	0.010000	3.546578
