p	eps	smooth	err_tdist
99	0.1000	0.904837	84.818687
99	0.1269	0.880825	84.818935
99	0.1610	0.851270	84.819271
99	0.2043	0.815188	84.819729
99	0.2593	0.771596	84.820369
99	0.3290	0.719618	84.821284
99	0.4175	0.658670	84.822630
99	0.5298	0.588704	84.824688
99	0.6723	0.510515	84.827987
99	0.8532	0.426063	84.833615
99	1.0826	0.338701	84.844070
99	1.3738	0.253137	84.866120
99	1.7433	0.174937	84.924133
99	2.2122	0.109458	85.182040
99	2.8072	0.060373	99.630163
99	3.5622	0.028375	348.354230
99	4.5204	0.010885	407.043947
99	5.7362	0.010000	408.251114
99	7.2790	0.010000	408.631817
99	9.2367	0.010000	408.819187
99	11.7210	0.010000	408.911275
99	14.8735	0.010000	408.956488
99	18.8739	0.010000	408.978671
99	23.9503	0.010000	408.989548
99	30.3920	0.010000	408.994880
99	38.5662	0.010000	408.997492
99	48.9390	0.010000	408.998772
99	62.1017	0.010000	408.999399
99	78.8046	0.010000	408.999706
99	100.0000	0.010000	408.999856
